id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-0554;11 Panecillos;1.14;Panadería y Pastelería;Pan fresco;;
ME-0986;12 Mini croissants de mantequilla;2.15;Lácteos y Huevos;Mantequillas y Natas;;
ME-1025;12 Mini saladas surtidas;1.25;Platos preparados;Bocadillos y Sándwich listos;;
ME-0559;2 Panes integrales 100% fino;1.4;Panadería y Pastelería;Pan fresco;;
ME-1026;24 Mini saladas surtidas;2.5;Platos preparados;Bocadillos y Sándwich listos;;
ME-0524;3 Barras de pan;1.19;Panadería y Pastelería;Pan fresco;;
ME-0564;3 Barras de pan rebanadas;1.19;Panadería y Pastelería;Pan fresco;;
ME-0544;3 Bocadillos;1.04;Platos preparados;Bocadillos y Sándwich listos;;
ME-0556;3 Panes molletes;1.2;Panadería y Pastelería;Pan fresco;;
ME-1001;3 Susos relleno de crema;1.65;Panadería y Pastelería;Bollos;;
ME-0164;3 Vegetales para microondas lavados;1.85;Platos preparados;Bocadillos y Sándwich listos;;
ME-0546;4 Panes chapata de cristal;1.3;Panadería y Pastelería;Pan fresco;;
ME-0558;4 Panes de cristal redondos cortados 100 % natural;1.85;Panadería y Pastelería;Pan fresco;;
ME-0548;5 Barras de pan 51% integral;1.35;Panadería y Pastelería;Pan fresco;;
ME-0987;6 Croissant rellenos de cacao;1.75;Panadería y Pastelería;Bollos;;
ME-0557;6 Panecillos integrales 100%;1.05;Panadería y Pastelería;Pan fresco;;
ME-0553;6 Panes de centeno 51%;1.47;Panadería y Pastelería;Pan fresco;;
ME-0550;6 Panes de leche 3%;1.51;Lácteos y Huevos;"Leche y bebidas ""lácteas""";;
ME-0551;6 Panes pulguitas sin aditivos;1.05;Panadería y Pastelería;Pan fresco;;
ME-4269;70% Alcohol de Limpieza Perfumado Bosque Verde;2.3;Hogar;Limpiadores de superficie;;
ME-4275;70% Alcohol limpieza hogar Bosque Verde;2.6;Hogar;Limpiadores de superficie;;
ME-1004;8 Croissants surtidos rellenos de crema de cacao y crema con leche sabor a chocolate blanco;2.55;Panadería y Pastelería;Bollos;;
ME-0992;8 Magdalenas con azúcar;2.7;Panadería y Pastelería;Bollos;;
ME-0993;8 Magdalenas con pepitas de chocolate;3.1;Panadería y Pastelería;Bollos;;
ME-3605;99% cacao negro Hacendado;2.6;Desayuno y Snack;Café y cacaos;;
ME-4219;Abrillantador lavavajillas líquido Bosque Verde;1.2;Hogar;Limpiadores de superficie;;
ME-4226;Abrillantador lavavajillas líquido Finish;3.95;Hogar;Limpiadores de superficie;;
ME-4284;Abrillantador suelos Bosque Verde;2.1;Hogar;Limpiadores de superficie;;
ME-4491;Absorbeolores en gel para frigorífico Bosque Verde;1.8;Hogar;Limpiadores de superficie;;
ME-4490;Absorbeolores Ropa Limpia Bosque Verde;0.8;Hogar;Limpiadores de superficie;;
ME-3947;Aceite árbol del té 100% puro Deliplus con pipeta dosificadora;3.0;Cuidado personal e Higiene;Higiene corporal;;
ME-1116;Aceite corporal aloe vera Deliplus;1.65;Cuidado personal e Higiene;Higiene corporal;;
ME-1117;Aceite corporal de almendras Deliplus 100% natural;3.4;Cuidado personal e Higiene;Higiene corporal;;
ME-1118;Aceite corporal de romero Deliplus 100% natural;3.2;Cuidado personal e Higiene;Higiene corporal;;
ME-1119;Aceite corporal rosa mosqueta Deliplus;4.8;Cuidado personal e Higiene;Higiene corporal;;
ME-1779;Aceite de coco virgen Hacendado;5.25;Despensa;Aceites;;
ME-1777;Aceite de girasol refinado 0,2º Hacendado;8.45;Despensa;Aceites;;
ME-1758;Aceite de oliva 0,4º Hacendado;19.75;Despensa;Aceites;;
ME-1763;Aceite de oliva 1º Hacendado;20.85;Despensa;Aceites;;
ME-1760;Aceite de oliva virgen extra Hacendado;14.55;Despensa;Aceites;;
ME-1762;Aceite de oliva virgen extra Hacendado Gran Selección;5.95;Despensa;Aceites;;
ME-1768;Aceite de oliva virgen extra Picual Casa Juncal;4.85;Despensa;Aceites;;
ME-1765;Aceite de oliva virgen Hacendado;12.85;Despensa;Aceites;;
ME-0690;Aceite de Ricino Deliplus;3.45;Cuidado personal e Higiene;Toallitas y algodón;;
ME-0647;Aceite facial doble limpieza Facial Clean desmaquillante y limpiador;3.75;Cuidado personal e Higiene;Cremas y protectores;;
ME-1508;Aceitunas manzanilla sabor anchoa Hacendado con hueso;2.85;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1514;Aceitunas negras de Aragón Campo Nature;2.5;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1515;Aceitunas negras en rodajas Hacendado;2.0;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1512;Aceitunas negras sin hueso Hacendado;1.05;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1505;Aceitunas verdes campo real Guerra;4.0;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1498;Aceitunas verdes Chupadedos Huerta de Barros partidas aliñadas;3.4;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1506;Aceitunas verdes con hueso Hacendado;1.4;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1502;Aceitunas verdes estilo casero Hacendado partidas aliñadas;2.85;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1499;Aceitunas verdes Gazpacha Hacendado partidas;2.5;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1511;Aceitunas verdes partidas XXL Olives Garcia;4.3;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1507;Aceitunas verdes Picadedos sin hueso Hacendado aliñadas;3.8;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1493;Aceitunas verdes rellenas de anchoa Hacendado;3.0;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1497;Aceitunas verdes rellenas de anchoa Hacendado reducidas en sal;1.95;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1504;Aceitunas verdes rellenas de jalapeño Hacendado;1.75;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1509;Aceitunas verdes rellenas de pepinillo Hacendado;2.85;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1510;Aceitunas verdes rellenas de pimiento asado Hacendado;1.75;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1503;Aceitunas verdes sin hueso aliñadas Hacendado;1.9;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1496;Aceitunas verdes sin hueso Hacendado;2.8;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-0155;Acelgas;2.15;Frutas y Verduras;Verduras;;
ME-0143;Acelgas cortadas y lavadas;1.35;Frutas y Verduras;Verduras;;
ME-3346;Acelgas troceadas Hacendado;1.8;Frutas y Verduras;Verduras;;
ME-2547;Acondicionador instantáneo Hydra hyaluronic Deliplus cabello de normal a seco;2.0;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2543;Acondicionador instantáneo Kids Deliplus;1.7;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2544;Acondicionador instantáneo Repair & Nutrition Deliplus cabello seco y dañado;3.0;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2548;Acondicionador Liso Keratina TRESemmé cabello encrespado o dañado;2.95;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2546;Acondicionador Protector Color Vive Elvive cabello teñido o con mechas;3.4;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2542;Acondicionador Repair & Nutrition Deliplus cabello seco y dañado;1.4;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2545;Acondicionador Repara & Protege Pantene;4.0;Cuidado personal e Higiene;Cuidado del cabello;;
ME-2541;Acondicionador Suavidad y Brillo Deliplus todo tipo de cabello;1.75;Cuidado personal e Higiene;Cuidado del cabello;;
ME-4198;Activador Blanqueante ropa blanca Oxi Active Bosque Verde en polvo;3.1;Hogar;Detergentes para ropa;;
ME-4200;Activador Blanqueante ropa blanca Oxi Active Bosque Verde líquido;1.75;Hogar;Detergentes para ropa;;
ME-4197;Activador Quitamanchas ropa de color Oxi Active Bosque Verde en polvo;3.1;Hogar;Detergentes para ropa;;
ME-4199;Activador Quitamanchas ropa de color Oxi Active Bosque Verde líquido;1.75;Hogar;Detergentes para ropa;;
ME-3538;Agua de coco Hacendado 100% natural;2.6;Bebidas;Agua;;
ME-4072;Agua de colonia bebé Nenuco;2.85;Bebidas;Agua;;
ME-2034;Agua de colonia Deliplus Citrus Classic;2.75;Bebidas;Agua;;
ME-2035;Agua de colonia Deliplus Floral Infusion;2.75;Bebidas;Agua;;
ME-4073;Agua de colonia fresca infantil Deliplus con notas cítricas;1.9;Bebidas;Agua;;
ME-1995;Agua de colonia S3 Classic fresh;3.75;Bebidas;Agua;;
ME-2028;Agua de colonia S3 Mediterránea;3.75;Bebidas;Agua;;
ME-2668;Agua de peinado cabello Aqua Styling Deliplus;2.1;Bebidas;Agua;;
ME-3554;Agua de soda con sifón La Casa;1.6;Bebidas;Agua;;
ME-4241;Agua destilada Bosque Verde;0.9;Bebidas;Agua;;
ME-0641;Agua facial de avena Deliplus;2.9;Bebidas;Agua;;
ME-0632;Agua micelar cara y ojos Facial Clean;3.0;Bebidas;Agua;;
ME-3555;Agua mineral con gas grande Aguadoy;2.7;Bebidas;Agua;;
ME-3552;Agua mineral con gas grande San Pellegrino;8.34;Bebidas;Agua;;
ME-3550;Agua mineral con gas grande Vichy Catalan;1.55;Bebidas;Agua;;
ME-3557;Agua mineral con gas pequeña Aguadoy;1.74;Bebidas;Agua;;
ME-3551;Agua mineral con gas pequeña Vichy Catalan;6.15;Bebidas;Agua;;
ME-3526;Agua mineral grande Aguadoy;0.95;Bebidas;Agua;;
ME-3518;Agua mineral grande Bezoya;4.5;Bebidas;Agua;;
ME-3509;Agua mineral grande Fuente Dehesa;1.3;Bebidas;Agua;;
ME-3524;Agua mineral grande Lanjarón;3.6;Bebidas;Agua;;
ME-3536;Agua mineral grande Liviana;4.8;Bebidas;Agua;;
ME-3520;Agua mineral grande Nestlé Aquarel;3.84;Bebidas;Agua;;
ME-3522;Agua mineral grande Solán de Cabras;5.34;Bebidas;Agua;;
ME-3530;Agua mineral mediana Aguadoy;2.4;Bebidas;Agua;;
ME-3512;Agua mineral mediana Fuente Dehesa;3.0;Bebidas;Agua;;
ME-3532;Agua mineral pequeña Aguadoy;1.56;Bebidas;Agua;;
ME-3534;Agua mineral pequeña Aguadoy tapón infantil;1.68;Bebidas;Agua;;
ME-3514;Agua mineral pequeña Fuente Dehesa;1.74;Bebidas;Agua;;
ME-3516;Agua mineral pequeña Fuente Dehesa tapón infantil;2.4;Bebidas;Agua;;
ME-3974;Agua oxigenada Deliplus desinfectante antiséptico;0.65;Bebidas;Agua;;
ME-4242;Agua para plancha Bosque Verde perfume ropa limpia;1.5;Bebidas;Agua;;
ME-4074;Agua perfumada bebé con notas florales Deliplus;3.2;Bebidas;Agua;;
ME-0101;Aguacate;1.18;Bebidas;Agua;;
ME-0102;Aguacates;3.87;Bebidas;Agua;;
ME-2167;Ajo granulado Hacendado;1.2;Frutas y Verduras;Verduras;;
ME-0015;Ajo negro dientes pelados;5.0;Frutas y Verduras;Verduras;;
ME-2406;Ajo tierno Hacendado ultracongelado;2.05;Congelados;Verduras congeladas;;
ME-2425;Ajo troceado Hacendado ultracongelado;0.95;Congelados;Verduras congeladas;;
ME-2122;Ajo y Perejil Hacendado;1.35;Frutas y Verduras;Verduras;;
ME-1527;Ajos aliñados Hacendado;2.6;Frutas y Verduras;Verduras;;
ME-0012;Ajos morados;1.85;Frutas y Verduras;Fruta;;
ME-0468;Alas de pollo;4.07;Carnicería y Charcutería;Pollo;;
ME-0469;Alas de pollo adobadas;3.53;Carnicería y Charcutería;Pollo;;
ME-0484;Alas de pollo adobadas picantes;3.26;Carnicería y Charcutería;Pollo;;
ME-1242;Alas de pollo barbacoa congeladas;3.7;Carnicería y Charcutería;Pollo;;
ME-1232;Alas de pollo congeladas;3.6;Carnicería y Charcutería;Pollo;;
ME-0459;Alas partidas de pollo;2.76;Carnicería y Charcutería;Pollo;;
ME-0475;Alas partidas de pollo certificado alimentado con un 50% de maíz;3.66;Carnicería y Charcutería;Pollo;;
ME-0135;Albahaca;1.55;Frutas y Verduras;Verduras;;
ME-2118;Albahaca Hacendado;1.25;Frutas y Verduras;Verduras;;
ME-0813;Albóndigas de cerdo;4.55;Carnicería y Charcutería;Cerdo;;
ME-0814;Albóndigas de pollo;6.0;Carnicería y Charcutería;Pollo;;
ME-1877;Albóndigas de pollo Hacendado;1.8;Carnicería y Charcutería;Pollo;;
ME-0816;Albóndigas de vacuno;6.0;Platos preparados;Platos de carne / ave;;
ME-1872;Albóndigas en salsa Hacendado;1.8;Platos preparados;Platos de carne / ave;;
ME-1844;Albóndigas guisadas Hacendado;2.75;Platos preparados;Platos de carne / ave;;
ME-0146;Alcachofa;0.38;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-2426;Alcachofa baby Hacendado ultracongelada;3.05;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-2407;Alcachofa troceada Hacendado ultracongelada;2.65;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-1522;Alcaparras Hacendado;1.35;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva;;
ME-3973;Alcohol 96º Deliplus antiséptico;0.75;Cuidado personal e Higiene;Cremas y protectores;;
ME-3982;Alcohol de romero Deliplus;2.0;Cuidado personal e Higiene;Cremas y protectores;;
ME-3980;Algodón hidrófilo 100% zig-zag hipoalergénico Deliplus;1.2;Bebes;Toallitas y algodón;;
ME-4274;Algodón mágico Aladdin;3.8;Bebes;Toallitas y algodón;;
ME-4312;Alguicida sin espuma líquido Bosque Verde para piscina;12.5;Hogar;Limpiadores de superficie;;
ME-1821;Alicate uñas Deliplus;4.9;Cuidado personal e Higiene;Cremas y protectores;;
ME-4171;Alimento completo conejos enanos Granzoo;1.7;Mascotas;Juguetes y accesorios;;
ME-4167;Alimento completo para canarios y jilgueros Granzoo;1.88;Mascotas;Juguetes y accesorios;;
ME-4169;Alimento completo para loros y cotorras Granzoo;3.3;Mascotas;Juguetes y accesorios;;
ME-4170;Alimento completo para ninfa y agaporni Granzoo;1.85;Mascotas;Juguetes y accesorios;;
ME-4165;Alimento completo para periquitos Granzoo;1.9;Mascotas;Juguetes y accesorios;;
ME-4172;Alimento completo para roedores Granzoo hámster, cobaya y chinchilla;1.9;Mascotas;Juguetes y accesorios;;
ME-2341;Aliño de aceite con perejil y ajo Hacendado;1.8;Despensa;Aceites;;
ME-0182;Alistado mediano Hacendado ultracongelado;21.25;Congelados;Verduras congeladas;;
ME-0181;Alistado pequeño Hacendado congelado;10.32;Congelados;Verduras congeladas;;
ME-1842;Alitas de pollo asadas Hacendado;4.4;Carnicería y Charcutería;Pollo;;
ME-2281;Allioli Chovi;1.55;Despensa;Salsas, caldos y condimentos preparados;;
ME-2283;Allioli en sobres individuales Hacendado;1.6;Despensa;Salsas, caldos y condimentos preparados;;
ME-2282;Allioli Hacendado;1.1;Despensa;Salsas, caldos y condimentos preparados;;
ME-0204;Almeja Hacendado congelada;1.8;Pescadería;Moluscos;;
ME-0209;Almeja japonesa viva;10.35;Pescadería;Moluscos;;
ME-3102;Almejas blancas del norte al natural Hacendado;1.65;Pescadería;Moluscos;;
ME-3099;Almejones al natural Hacendado;1.35;Pescadería;Moluscos;;
ME-1382;Almendra frita y salada Hacendado pelada;3.15;Desayuno y Snack;Frutos secos embasados;;
ME-1702;Almendra laminada Hacendado;2.15;Desayuno y Snack;Frutos secos embasados;;
ME-1697;Almendra molida Hacendado;2.15;Desayuno y Snack;Frutos secos embasados;;
ME-1369;Almendra natural Hacendado;2.5;Desayuno y Snack;Frutos secos embasados;;
ME-1396;Almendra natural Hacendado sin piel;2.9;Desayuno y Snack;Frutos secos embasados;;
ME-1705;Almendra palitos Hacendado;1.85;Desayuno y Snack;Frutos secos embasados;;
ME-1384;Almendra tostada Hacendado 0% sal añadida con piel;2.95;Desayuno y Snack;Frutos secos embasados;;
ME-1379;Almendra tostada y salada Hacendado con piel;2.4;Desayuno y Snack;Frutos secos embasados;;
ME-1521;Altramuces Hacendado;1.75;Desayuno y Snack;Frutos secos embasados;;
ME-2840;Alubia blanca Hacendado;2.45;Despensa;Legumbres secas;;
ME-2836;Alubia cocida blanca Hacendado;0.8;Despensa;Legumbres secas;;
ME-2843;Alubia cocida granja Hacendado;1.75;Despensa;Legumbres secas;;
ME-2839;Alubia cocida pinta Hacendado;1.25;Despensa;Legumbres secas;;
ME-2838;Alubia cocida roja Hacendado;1.2;Despensa;Legumbres secas;;
ME-2845;Alubia granja Hacendado;3.45;Despensa;Legumbres secas;;
ME-2841;Alubia negra Hacendado;2.5;Despensa;Legumbres secas;;
ME-2844;Alubia pinta Hacendado;2.4;Despensa;Legumbres secas;;
ME-2842;Alubia roja Hacendado;3.2;Despensa;Legumbres secas;;
ME-1873;Alubias a la jardinera Hacendado;1.2;Despensa;Legumbres secas;;
ME-1879;Alubias con tomate Heinz;1.5;Frutas y Verduras;Verduras;;
ME-4445;Ambientador coche Bali Bosque Verde;1.85;Hogar;Ambientadores;;
ME-4447;Ambientador coche Exótico Bosque Verde;1.85;Hogar;Ambientadores;;
ME-4446;Ambientador coche Frutos Silvestres Bosque Verde;1.85;Hogar;Ambientadores;;
ME-4448;Ambientador coche Marine Bosque Verde;1.85;Hogar;Ambientadores;;
ME-4224;Ambientador lavavajillas Limón Bosque Verde;1.5;Hogar;Lavavajillas;;
ME-4474;Ambientador líquido concentrado Foresan deluxe;1.7;Hogar;Ambientadores;;
ME-4470;Ambientador perlas Lima Bosque Verde;1.45;Frutas y Verduras;Fruta;;
ME-4469;Ambientador perlas Tiernos Recuerdos Bosque Verde;1.45;Hogar;Ambientadores;;
ME-4473;Ambientador Spa armarios y cajones Bosque Verde;1.75;Frutas y Verduras;Verduras;;
ME-4401;Ambientador spray de tejidos Elixir Floral Bosque Verde;2.15;Hogar;Ambientadores;;
ME-4405;Ambientador spray Essence Bosque Verde;1.15;Hogar;Ambientadores;;
ME-4399;Ambientador spray Fresh Bosque Verde;1.15;Hogar;Ambientadores;;
ME-4404;Ambientador spray Red Elixir Bosque Verde;1.15;Hogar;Ambientadores;;
ME-4398;Ambientador spray Ropa Limpia Bosque Verde;1.15;Hogar;Ambientadores;;
ME-4400;Ambientador spray Sweet Blossom Bosque Verde;1.15;Hogar;Ambientadores;;
ME-4475;Ambientador Talco armarios y cajones Bosque Verde;1.75;Frutas y Verduras;Verduras;;
ME-4466;Ambientador varitas Bambú Bosque Verde;2.1;Hogar;Ambientadores;;
ME-4465;Ambientador varitas Frambuesa Bosque Verde;2.1;Frutas y Verduras;Fruta;;
ME-4467;Ambientador varitas Fruta Tropical Bosque Verde;2.1;Hogar;Ambientadores;;
ME-4468;Ambientador varitas Magnolia Bosque Verde;2.1;Hogar;Ambientadores;;
ME-4476;Ambientador varitas Pistacho Bosque Verde;2.1;Hogar;Ambientadores;;
ME-4305;Amoníaco con detergente Bosque Verde;0.95;Hogar;Detergentes para ropa;;
ME-4308;Amoníaco concentrado Bosque Verde con detergente;1.25;Hogar;Detergentes para ropa;;
ME-4303;Amoníaco perfumado Bosque Verde;0.75;Hogar;Limpiadores de superficie;;
ME-0684;Ampollas faciales Ácido Hialurónico Hidrata Deliplus concentrado;3.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-2574;Ampollas tratamiento intensivo Repara & Protege Pantene cabello dañado;4.35;Panadería y Pastelería;Pan fresco;;
ME-1377;Anacardo frito salado Hacendado;2.8;Desayuno y Snack;Frutos secos embasados;;
ME-1375;Anacardo natural Hacendado;2.8;Desayuno y Snack;Frutos secos embasados;;
ME-0297;Anillas de pota a la romana Hacendado ultracongeladas;5.25;Congelados;Verduras congeladas;;
ME-0306;Anillas de pota Argentina Hacendado congeladas;5.75;Congelados;Verduras congeladas;;
ME-1084;Aperitivo de patata con sabor a nata agria y cebolla;1.75;Lácteos y Huevos;Mantequillas y Natas;;
ME-1087;Aperitivo de patata sabor barbacoa Hacendado;1.75;Desayuno y Snack;Snack salados;;
ME-1079;Aperitivo de patata sabor crema agria y cebolla Pringles;1.95;Desayuno y Snack;Snack salados;;
ME-1078;Aperitivo de patata sabor original Pringles;1.95;Bebidas;Licores y destilados;;
ME-0150;Apio cortado lavado;1.15;Frutas y Verduras;Verduras;;
ME-0149;Apio verde;1.32;Frutas y Verduras;Verduras;;
ME-3988;Apósitos hidrocoloides adhesivos para ampollas y rozaduras Deliplus surtidos;4.3;Cuidado personal e Higiene;Cremas y protectores;;
ME-0130;Arándanos;3.35;Frutas y Verduras;Fruta;;
ME-1425;Arándanos deshidratados Hacendado;2.2;Frutas y Verduras;Fruta;;
ME-2396;Arándanos enteros Hacendado ultracongelados;2.15;Congelados;Verduras congeladas;;
ME-0889;Arcos dentales para higiene interdental Deliplus;1.8;Cuidado personal e Higiene;Higiene bucal;;
ME-4155;Arena para gato aglomerante Nuske perfumada;3.75;Mascotas;Arena y asea para gatos;;
ME-4154;Arena para gato antibacterias Nuske;1.5;Mascotas;Arena y asea para gatos;;
ME-4156;Arena para gato de perlas sílice Single;3.55;Mascotas;Arena y asea para gatos;;
ME-0285;Aritos de surimi a la romana Hacendado ultracongelados;3.3;Congelados;Verduras congeladas;;
ME-4103;Aritos perro adulto y sénior Compy;8.3;Mascotas;Comida para perros;;
ME-1455;Aroma de vainilla Hacendado;2.0;Despensa;Especias e hierbas secas;;
ME-1104;Aros de maíz Hacendado;0.85;Desayuno y Snack;Snack salados;;
ME-0178;Arreglo de marisco pelado;9.45;Pescadería;Marisco;;
ME-1019;Arreglo para cocido;7.65;Platos preparados;Sopas y cremas frías;;
ME-1008;Arreglo para puchero vacuno, cerdo y pollo;6.3;Carnicería y Charcutería;Pollo;;
ME-2590;Arroz Albufera Hacendado;2.95;Despensa;Arroz, pasta y quinoa;;
ME-2594;Arroz basmati aromático Hacendado;2.1;Despensa;Arroz, pasta y quinoa;;
ME-1830;Arroz cocido basmati Sabroz;1.15;Despensa;Arroz, pasta y quinoa;;
ME-1831;Arroz cocido integral Sabroz;1.1;Despensa;Arroz, pasta y quinoa;;
ME-1833;Arroz cocido redondo Sabroz;1.1;Despensa;Arroz, pasta y quinoa;;
ME-1623;Arroz con leche Hacendado;1.35;Lácteos y Huevos;"Leche y bebidas ""lácteas""";;
ME-2605;Arroz con verduras para microondas Hacendado ultracongelado;2.0;Despensa;Arroz, pasta y quinoa;;
ME-1837;Arroz de pescado Hacendado;4.0;Pescadería;Pescado;;
ME-1834;Arroz de secreto ibérico con setas Hacendado;3.0;Frutas y Verduras;Setas;;
ME-1836;Arroz de verduras Hacendado;3.5;Despensa;Arroz, pasta y quinoa;;
ME-2599;Arroz integral largo Hacendado;1.65;Despensa;Arroz, pasta y quinoa;;
ME-2587;Arroz largo Hacendado;1.25;Despensa;Arroz, pasta y quinoa;;
ME-2606;Arroz marinera Hacendado ultracongelado;2.2;Despensa;Arroz, pasta y quinoa;;
ME-2604;Arroz negro Hacendado ultracongelado;3.0;Despensa;Arroz, pasta y quinoa;;
ME-2602;Arroz para microondas Hacendado ultracongelado;2.0;Despensa;Arroz, pasta y quinoa;;
ME-2586;Arroz redondo Hacendado;1.3;Despensa;Arroz, pasta y quinoa;;
ME-2593;Arroz redondo J Sendra Hacendado;1.6;Despensa;Arroz, pasta y quinoa;;
ME-2600;Arroz redondo Sabor;2.45;Despensa;Arroz, pasta y quinoa;;
ME-2598;Arroz redondo SOS;1.88;Despensa;Arroz, pasta y quinoa;;
ME-2601;Arroz tres delicias Hacendado ultracongelado;2.85;Despensa;Arroz, pasta y quinoa;;
ME-2596;Arroz vaporizado Hacendado;1.55;Despensa;Arroz, pasta y quinoa;;
ME-3044;Atún claro al natural Hacendado;4.2;Conservas y Enlatados;Conservas de pescado y mariscos;;
ME-3039;Atún claro en aceite de girasol Hacendado;4.3;Conservas y Enlatados;Conservas de pescado y mariscos;;
ME-3042;Atún claro en aceite de oliva Hacendado;4.9;Conservas y Enlatados;Conservas de pescado y mariscos;;
ME-3045;Atún claro en escabeche blanco Hacendado;4.7;Bebidas;Vino;;
ME-3038;Atún en aceite de girasol Hacendado;6.5;Conservas y Enlatados;Conservas de pescado y mariscos;;
ME-3041;Atún en aceite de oliva Hacendado;7.7;Conservas y Enlatados;Conservas de pescado y mariscos;;
ME-3047;Atún en salsa de tomate Hacendado;2.1;Frutas y Verduras;Verduras;;
ME-1378;Avellana tostada Hacendado 0% sal añadida;4.3;Desayuno y Snack;Frutos secos embasados;;
ME-2472;Avena molida Hacendado;1.15;Despensa;Harinas;;
ME-2142;Azafrán hebra Hacendado;1.95;Despensa;Especias e hierbas secas;;
ME-2141;Azafrán molido Hacendado;1.9;Despensa;Especias e hierbas secas;;
ME-3411;Azúcar blanco en sobres Hacendado;1.55;Bebidas;Vino;;
ME-3410;Azúcar blanco Hacendado;1.0;Bebidas;Vino;;
ME-3415;Azúcar glas Hacendado;2.6;Despensa;Azúcares y edulcorantes;;
ME-3412;Azúcar moreno de caña Hacendado;1.9;Despensa;Azúcares y edulcorantes;;
ME-3413;Azúcar moreno en sobres Hacendado;1.75;Despensa;Azúcares y edulcorantes;;
ME-1701;Azúcar vainillado Hacendado;1.3;Despensa;Azúcares y edulcorantes;;
ME-0359;Bacalao ahumado Hacendado en aceite de girasol;4.45;Pescadería;Pescado;;
ME-0219;Bacalao al punto de sal descongelado;9.0;Pescadería;Pescado;;
ME-2131;Bacón adobado curado La Alegría;2.45;Carnicería y Charcutería;Charcuteria;;
ME-2128;Bacon adobado La Alegría curado;3.06;Carnicería y Charcutería;Charcuteria;;
ME-2126;Bacón ahumado Monells lonchas;2.3;Carnicería y Charcutería;Charcuteria;;
ME-2127;Bacón ahumado sin corteza Monells;2.99;Carnicería y Charcutería;Charcuteria;;
ME-2124;Bacón Hacendado cintas;2.3;Carnicería y Charcutería;Charcuteria;;
ME-2125;Bacón Oscar Mayer lonchas;2.35;Carnicería y Charcutería;Charcuteria;;
ME-0527;Baguette masa madre;0.57;Panadería y Pastelería;Pan fresco;;
ME-0529;Baguette sin gluten;1.95;Panadería y Pastelería;Pan fresco;;
ME-1592;Bálsamo after shave Sensitive Deliplus con aloe vera y 0% alcohol;1.6;Cuidado personal e Higiene;Productos de afeitado;;
ME-1591;Bálsamo after shave Sensitive Nivea Men 0% alcohol;5.85;Cuidado personal e Higiene;Productos de afeitado;;
ME-4071;Bálsamo facial corporal infantil pieles atópicas Deliplus;4.4;Cuidado personal e Higiene;Cremas y protectores;;
ME-3231;Bálsamo labial Color Balm Deliplus 07 nude rosa;4.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-3232;Bálsamo labial Color Balm Deliplus 08 nude beige;4.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-3233;Bálsamo labial Color Balm Deliplus 09 rosa medio perlado;4.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-3234;Bálsamo labial Color Balm Deliplus 10 coral;4.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-3235;Bálsamo labial Color Balm Deliplus 11 rosa;4.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-3236;Bálsamo labial Color Balm Deliplus 12 frambuesa;4.5;Frutas y Verduras;Fruta;;
ME-3237;Bálsamo labial Color Balm Deliplus 13 perlado;4.5;Cuidado personal e Higiene;Cremas y protectores;;
ME-3987;Bálsamo oriental efecto calor Deliplus con vitamina E;3.0;Cuidado personal e Higiene;Cremas y protectores;;
